ICAO,llegada_punto,salida_punto,despegue,tiempo_espera,aircraft_type,llegada_lon,llegada_lat,salida_lon,salida_lat,holding_point,parado,runway,fecha_despegue,hora_despegue
346083,2024-11-07 06:49:43.467,2024-11-07 06:49:55.504,2024-11-07 06:51:13.156,89.689,Medium 2 (between 34000 kg to 136000 kg),-3.560927997935902,40.49942275225106,-3.56036376953125,40.49951934814453,Y1,False,18L/36R,2024-11-07,6
3415ce,2024-11-07 06:51:33.727,2024-11-07 06:51:41.398,2024-11-07 06:52:43.473,69.746,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.499427795410156,-3.56036376953125,40.49948501586914,Y1,False,18L/36R,2024-11-07,6
3475d5,2024-11-07 06:50:44.099,2024-11-07 06:50:57.027,2024-11-07 06:53:08.592,144.493,Medium 2 (between 34000 kg to 136000 kg),-3.5729598999023438,40.491834737486755,-3.5734904896129263,40.491834737486755,Z3,False,18R/36L,2024-11-07,6
34324f,2024-11-07 06:52:51.149,2024-11-07 06:52:58.328,2024-11-07 06:54:10.012,78.863,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49942275225106,-3.560333251953125,40.49949645996094,Y1,False,18L/36R,2024-11-07,6
344217,2024-11-07 06:53:01.004,2024-11-07 06:53:09.213,2024-11-07 06:54:41.671,100.667,Medium 2 (between 34000 kg to 136000 kg),-3.5762786865234375,40.49249267578125,-3.5756908763538706,40.49267267776748,Z4,False,18R/36L,2024-11-07,6
4cadf4,2024-11-07 06:54:33.410,2024-11-07 06:54:39.399,2024-11-07 06:55:38.830,65.42,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49943439031051,-3.560333251953125,40.49951934814453,Y1,False,18L/36R,2024-11-07,6
4ca765,2024-11-07 07:00:28.122,2024-11-07 07:00:33.911,2024-11-07 07:01:21.249,53.127,Medium 2 (between 34000 kg to 136000 kg),-3.5609123923561787,40.4994111141916,-3.5603193803267046,40.49948094254833,Y1,False,18L/36R,2024-11-07,7
440ced,2024-11-07 07:01:14.923,2024-11-07 07:01:20.940,2024-11-07 07:02:38.454,83.531,Medium 2 (between 34000 kg to 136000 kg),-3.5609283447265625,40.49941635131836,-3.5603505914861504,40.499492580607786,Y1,False,18L/36R,2024-11-07,7
346499,2024-11-07 07:02:12.078,2024-11-07 07:02:25.198,2024-11-07 07:04:00.281,108.203,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.499427795410156,-3.5603485107421875,40.49949645996094,Y1,False,18L/36R,2024-11-07,7
345319,2024-11-07 07:02:39.664,2024-11-07 07:02:50.664,2024-11-07 07:04:28.825,109.161,Heavy (larger than 136000 kg),-3.5730535333806817,40.491834737486755,-3.5734904896129263,40.491834737486755,Z3,False,18R/36L,2024-11-07,7
3453cc,2024-11-07 07:03:30.738,2024-11-07 07:04:01.404,2024-11-07 07:05:53.818,143.08,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49943439031051,-3.56036376953125,40.499507904052734,Y1,False,18L/36R,2024-11-07,7
3472cc,2024-11-07 07:03:50.519,2024-11-07 07:04:17.048,2024-11-07 07:07:36.889,226.37,Medium 2 (between 34000 kg to 136000 kg),-3.576299493963068,40.49249810687566,-3.575768904252486,40.492661039708025,Z4,False,18R/36L,2024-11-07,7
347553,2024-11-07 07:10:42.424,2024-11-07 07:10:48.339,2024-11-07 07:11:34.219,51.795,Medium 2 (between 34000 kg to 136000 kg),-3.5609283447265625,40.499427795410156,-3.5603485107421875,40.49948501586914,Y1,False,18L/36R,2024-11-07,7
4cadfc,2024-11-07 07:11:48.461,2024-11-07 07:11:54.594,2024-11-07 07:12:59.909,71.448,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.4994111141916,-3.5603349859064273,40.499492580607786,Y1,False,18L/36R,2024-11-07,7
345686,2024-11-07 07:11:54.388,2024-11-07 07:12:52.382,2024-11-07 07:14:28.942,154.554,Medium 2 (between 34000 kg to 136000 kg),-3.560927997935902,40.50031888282905,-3.5603974082253194,40.5004352634236,Y2,True,18L/36R,2024-11-07,7
345218,2024-11-07 07:15:22.655,2024-11-07 07:15:28.192,2024-11-07 07:16:11.820,49.165,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.4994111141916,-3.56036376953125,40.499473571777344,Y1,False,18L/36R,2024-11-07,7
