icao,hour,day,on_ground_min,on_ground_max,ground,flying
4CADE6,18,1,0.0,0.0,1.0,0.0
347307,14,7,0.0,0.0,1.0,0.0
345686,14,7,0.0,0.0,1.0,0.0
4010DD,14,7,0.0,0.0,1.0,0.0
346183,15,7,0.0,0.0,1.0,0.0
495151,15,7,0.0,0.0,1.0,0.0
4D2241,15,7,0.0,0.0,1.0,0.0
346181,15,7,0.0,1.0,1.0,1.0
493289,15,7,0.0,0.0,1.0,0.0
020112,15,7,0.0,0.0,1.0,0.0
345685,15,7,0.0,0.0,1.0,0.0
406544,15,7,0.0,0.0,1.0,0.0
4952C2,15,7,0.0,0.0,1.0,0.0
501C13,16,7,0.0,0.0,1.0,0.0
020111,16,7,0.0,0.0,1.0,0.0
346458,16,7,0.0,0.0,1.0,0.0
48418C,16,7,0.0,0.0,1.0,0.0
4080C2,16,7,0.0,0.0,1.0,0.0
494104,16,7,0.0,0.0,1.0,0.0
4D2223,17,7,0.0,0.0,1.0,0.0
34604C,17,7,0.0,0.0,1.0,0.0
345644,17,7,0.0,0.0,1.0,0.0
3E8182,17,7,0.0,0.0,1.0,0.0
3472C9,17,7,0.0,0.0,1.0,0.0
39DE42,18,7,0.0,0.0,1.0,0.0
346082,18,7,0.0,0.0,1.0,0.0
4D22B1,18,7,0.0,0.0,1.0,0.0
896216,18,7,0.0,0.0,1.0,0.0
40756C,18,7,0.0,0.0,1.0,0.0
34750B,18,7,0.0,0.0,1.0,0.0
4B180B,9,6,0.0,0.0,1.0,0.0
485A84,9,6,0.0,0.0,1.0,0.0
3474DA,9,6,0.0,0.0,1.0,0.0
3C79B7,9,6,0.0,0.0,1.0,0.0
345692,9,6,0.0,0.0,1.0,0.0
3453CC,9,6,0.0,0.0,1.0,0.0
4CAD3B,9,6,0.0,0.0,1.0,0.0
48D000,10,6,0.0,0.0,1.0,0.0
346181,10,6,0.0,0.0,1.0,0.0
4B1618,10,6,0.0,0.0,1.0,0.0
344195,10,6,0.0,0.0,1.0,0.0
341682,10,6,0.0,0.0,1.0,0.0
342091,10,6,0.0,0.0,1.0,0.0
4D00F2,10,6,0.0,0.0,1.0,0.0
4D0293,10,6,0.0,0.0,1.0,0.0
4CAD39,10,6,0.0,0.0,1.0,0.0
4CA9D0,10,6,0.0,0.0,1.0,0.0
485061,10,6,0.0,0.0,1.0,0.0
39DE41,10,6,0.0,0.0,1.0,0.0
3472C9,11,6,0.0,0.0,1.0,0.0
3C79BA,11,6,0.0,0.0,1.0,0.0
39DE41,11,6,0.0,0.0,1.0,0.0
347454,11,6,0.0,0.0,1.0,0.0
345686,11,6,0.0,0.0,1.0,0.0
4ACA85,11,6,0.0,0.0,1.0,0.0
394A04,11,6,0.0,0.0,1.0,0.0
4B1A25,11,6,0.0,0.0,1.0,0.0
347307,11,6,0.0,0.0,1.0,0.0
34728A,12,6,0.0,0.0,1.0,0.0
3453CC,12,6,0.0,0.0,1.0,0.0
346057,12,6,0.0,0.0,1.0,0.0
344498,12,6,0.0,0.0,1.0,0.0
44D068,12,6,0.0,0.0,1.0,0.0
3C7428,13,6,0.0,0.0,1.0,0.0
39CEA2,13,6,0.0,0.0,1.0,0.0
43E7A0,13,6,0.0,0.0,1.0,0.0
3453C5,13,6,0.0,0.0,1.0,0.0
40631B,13,6,0.0,0.0,1.0,0.0
AB5D52,13,6,0.0,0.0,1.0,0.0
346547,13,6,0.0,0.0,1.0,0.0
34324E,20,4,0.0,0.0,1.0,0.0
4073A1,21,4,0.0,0.0,1.0,0.0
495213,21,4,0.0,0.0,1.0,0.0
4CA760,21,4,0.0,0.0,1.0,0.0
4CAD11,22,4,0.0,0.0,1.0,0.0
71C345,23,4,0.0,0.0,1.0,0.0
4D2124,23,4,0.0,0.0,1.0,0.0
342353,0,5,1.0,1.0,0.0,1.0
348213,0,5,0.0,1.0,1.0,1.0
3420D5,2,5,0.0,0.0,1.0,0.0
4D227A,2,5,1.0,1.0,0.0,1.0
39644C,3,5,0.0,0.0,1.0,0.0
3C542B,4,5,0.0,0.0,1.0,0.0
346456,4,5,0.0,0.0,1.0,0.0
3949E9,5,5,0.0,0.0,1.0,0.0
06A1ED,5,5,0.0,0.0,1.0,0.0
06A1ED,6,5,0.0,0.0,1.0,0.0
4CADB9,6,5,0.0,0.0,1.0,0.0
4CAD3B,6,5,0.0,0.0,1.0,0.0
440D90,6,5,0.0,0.0,1.0,0.0
345685,6,5,0.0,0.0,1.0,0.0
3C65C8,6,5,0.0,0.0,1.0,0.0
440198,6,5,0.0,0.0,1.0,0.0
4B1A24,6,5,0.0,0.0,1.0,0.0
4CAE97,6,5,0.0,0.0,1.0,0.0
346499,7,5,0.0,0.0,1.0,0.0
347311,7,5,0.0,0.0,1.0,0.0
449683,7,5,0.0,0.0,1.0,0.0
4866EE,15,5,0.0,0.0,1.0,0.0
34750F,15,5,0.0,0.0,1.0,0.0
34750A,15,5,0.0,0.0,1.0,0.0
347309,15,5,0.0,0.0,1.0,0.0
4D2500,15,5,0.0,0.0,1.0,0.0
342211,15,5,0.0,0.0,1.0,0.0
4070EF,15,5,0.0,0.0,1.0,0.0
45AB4B,16,5,0.0,0.0,1.0,0.0
348213,16,5,0.0,0.0,1.0,0.0
3C6461,16,5,0.0,0.0,1.0,0.0
3C0699,16,5,0.0,0.0,1.0,0.0
440C6F,16,5,0.0,0.0,1.0,0.0
346057,16,5,0.0,0.0,1.0,0.0
407793,16,5,0.0,0.0,1.0,0.0
4D22B1,16,5,0.0,0.0,1.0,0.0
4CAC87,16,5,0.0,0.0,1.0,0.0
4ACA8F,16,5,0.0,0.0,1.0,0.0
48C12D,16,5,0.0,0.0,1.0,0.0
346611,16,5,0.0,0.0,1.0,0.0
346458,17,5,0.0,0.0,1.0,0.0
3424D2,17,5,0.0,0.0,1.0,0.0
43EE1B,17,5,0.0,0.0,1.0,0.0
A9C52E,17,5,0.0,0.0,1.0,0.0
4CAE52,17,5,0.0,0.0,1.0,0.0
3CD906,17,5,0.0,0.0,1.0,0.0
4D2384,17,5,0.0,0.0,1.0,0.0
342105,17,5,0.0,0.0,1.0,0.0
4CADE2,17,5,0.0,0.0,1.0,0.0
4ACA84,18,5,0.0,0.0,1.0,0.0
