ts_kafka,velocity,lat,lon,icao,ground,direccion
1733028633191,,,,342355,,
1733028933498,,,,342355,,
1733029233897,,,,342355,,
1733029534419,,,,342355,,
1733029834748,,,,342355,,
1733030134443,,,,342355,,
1733030436423,,,,342355,,
1733030737547,,,,342355,,
1733031038200,,,,342355,,
1733031338547,,,,342355,,
1733031637737,,,,342355,,
1733031939083,,,,342355,,
1733032239345,,,,342355,,
1733032540232,,,,342355,,
1733032840768,,,,342355,,
1733033141832,,,,342355,,
1733033441828,,,,342355,,
1733033742851,,,,342355,,
1733034043144,,,,342355,,
1733034343845,,,,342355,,
1733034644046,,,,342355,,
1733034944864,,,,342355,,
1733035243640,,,,342355,,
1733035543941,,,,342355,,
1733035846604,,,,342355,,
1733036147437,,,,342355,,
1733036447579,,,,342355,,
1733036748043,,,,342355,,
1733037047109,,,,342355,,
1733037349084,,,,342355,,
1733037596781,,,,342355,,
1733036750403,397.0,41.47352600097656,-6.851848255504261,3430cd,0.0,
1733037050840,407.0,41.02880859375,-7.29827880859375,3430cd,0.0,
1733037351247,400.0,40.58930969238281,0.26708984375,3430cd,0.0,
1733037468289,407.0,40.409670037738344,0.2742212468927557,3430cd,0.0,1.5311209902208496
1733035984770,418.0,41.853973388671875,-1.7204839533025569,343194,0.0,
1733036284551,421.0,41.318115234375,-1.41058349609375,343194,0.0,
1733036566439,425.0,40.786102294921875,-1.27740478515625,343194,0.0,
1733036605996,,,,343194,0.0,
1733024704176,,,,343404,,
1733028416182,,,,343404,,
1733028619273,,,,343404,,
1733028629243,,,,3440d8,,
1733028929448,,,,3440d8,,
1733029230559,,,,3440d8,,
1733029454134,,,,3440d8,,
1733029878094,,,,3440d8,,
1733030178420,,,,3440d8,,
1733030478814,,,,3440d8,,
1733030623045,,,,3440d8,,
1733031114934,,,,3440d8,,
1733031261492,,,,3440d8,,
1733023836251,,,,344103,,
1733024058906,,,,344103,,
1733027448180,,,,344103,,
1733027752180,,,,344103,,
1733027823516,,,,344103,,
1733033799534,,,,344103,,
1733034119553,,,,344103,,
1733011500060,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733011800567,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733012100474,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733012400452,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733012702134,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733013002665,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733013303216,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733013604046,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733013903803,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733014204343,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733014506170,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733014806645,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733015107456,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733015407516,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733015706953,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733016008244,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733016309584,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733016610652,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733016910978,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733017211033,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733017511409,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733017812248,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733018113254,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733018413085,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733018714471,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733019014876,,,,344115,,
1733019315113,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733019616217,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733019916901,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733020218296,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733020518473,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733020818831,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733021118928,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733021419834,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733021719870,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733022020992,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733022319760,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733022621168,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733022921762,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733023222097,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733023522922,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733023823908,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733024124024,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733024424594,,,,344115,,
1733024723817,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733025024990,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733025325122,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733025624552,,,,344115,,
1733025925328,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733026226872,,,,344115,,
1733026526418,,,,344115,,
1733026827431,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733027127528,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733027428320,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733027729184,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733028029241,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733028330199,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733028630860,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733028931878,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733029231471,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733029531860,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733029832213,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733030132217,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733030432065,,,,344115,,
1733030729391,,,,344115,,
1733031040539,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733031341302,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733031641502,,,,344115,,
1733031941935,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733032241893,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733032542796,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733032844234,,,,344115,,
1733033126310,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
1733033444695,31.0,41.1516661563162,-3.6044363542036577,344115,1.0,
1733033745187,31.0,41.15167236328125,-3.60443115234375,344115,1.0,
